Tên,Giá,Công nghệ CPU,Số nhân,Số luồng,Tốc độ CPU,Tốc độ tối đa,Bộ nhớ đệm,RAM,Loại RAM,Tốc độ Bus RAM,Hỗ trợ RAM tối đa,Ổ cứng,Màn hình,Độ phân giải,Tần số quét,Công nghệ màn hình,Màn hình cảm ứng,Card màn hình,Công nghệ âm thanh,Cổng giao tiếp,Kết nối không dây,Khe đọc thẻ nhớ,Webcam,Tính năng khác,Đèn bàn phím,"Kích thước, trọng lượng",Chất liệu,Thông tin Pin,Hệ điều hành,Thời điểm ra mắt
Laptop MSI Summit E16 Flip i7 1195G7/16GB/1TB SSD/4GB RTX3050/120Hz/Touch/Pen/Túi/Office365F/Win10 (082VN),46.490.000₫,Intel Core i7 Tiger Lake - 1195G7,4,8,2.90 GHz,Turbo Boost 5.0 GHz,12 MB,16 GB,LPDDR4X (8GB On board + 8GB On board),2133 MHz (Hãng công bố),Không hỗ trợ nâng cấp,"1 TB SSD M.2 PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB)",16 inch,QHD+ (2560 x 1600),120 Hz,100% DCI-P3 Tấm nền IPS,Có,"Card rời - NVIDIA GeForce RTX3050, 4 GB",Nahimic Audio,"2 x Thunderbolt 4 USB-C
2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm",Bluetooth 5.2 Wi-Fi 6E (802.11ax),Micro SD,Camera IR HD webcam,"Bảo mật vân tay
Công tắc khóa camera
Mở khóa khuôn mặt",Có,Dài 358.2 mm - Rộng 258.5 mm - Dày 16.9 mm - Nặng 1.9 kg,Vỏ kim loại,"4-cell, 82Wh",Windows 10 Home SL + Office 365 Family 1 năm,2021
Laptop Asus ROG Zephyrus G14 Alan Walker GA401QEC R9 5900HS/16GB 1TB/4GB RTX3050Ti/120Hz/Túi/Win10 (K2064T),44.990.000₫,AMD Ryzen 9 - 5900HS,8,16,3.00 GHz,Turbo Boost 4.6 GHz,16 MB,16 GB,DDR4 2 khe (8GB onboard+ 1 khe 8GB),3200 MHz,24 GB,"Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe 3.0 mở rộng (nâng cấp dung lượng không giới hạn) 1 TB SSD M.2 PCIe 3.0 (Có thể tháo ra, lắp thanh khác dung lượng không giới hạn)",14 inch,QHD (2560 x 1440),120 Hz,"100% DCI-P3
Chống chói Anti Glare
Công nghệ IPS
Độ sáng 300 nits",,"Card rời - NVIDIA GeForce RTX3050Ti, 4 GB",Công nghệ Smart AMP Dolby Atmos,"1x USB 3.2 Gen 2 Type-C support DisplayPort / power delivery / G-SYNC
2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
USB Type-C",Bluetooth 5.1 Wi-Fi 6 (802.11ax),,Không tích hợp,Bảo mật vân tay,Có,Dài 324 mm - Rộng 220 mm - Dày 19.9 mm - Nặng 1.7 kg,Vỏ nhựa - nắp lưng bằng kim loại,"4-cell Li-ion, 76 Wh",Windows 10 Home SL,2021
Laptop Acer Predator Triton 300 PT315 53 75LQ i7 11800H/16GB/512GB/6GB RTX3060/165Hz/Win10 (NH.QDQSV.001),43.990.000₫ *,Intel Core i7 Tiger Lake - 11800H,8,16,2.30 GHz,Turbo Boost 4.6 GHz,24 MB,16 GB,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),3200 MHz,32 GB,"Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB) 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",15.6 inch,QHD (2560 x 1440),165 Hz,"Acer ComfyView
Công nghệ IPS
LED Backlit
TFT",,"Card rời - NVIDIA GeForce RTX 3060, 6 GB",DTS X:Ultra Audio,"3 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
Mini DisplayPort
Thunderbolt 4 USB-C",Bluetooth 5.1 Wi-Fi 6 (802.11ax),,HD webcam,Công nghệ quạt AeroBlade™ 3D thế hệ 5 2 quạt tản nhiệt Đèn bàn phím chuyển màu RGB,Có,Dài 353 mm - Rộng 255 mm - Dày 19.9 mm - Nặng 2 kg,Vỏ kim loại,"4-cell Li-ion, 59 Wh",Windows 10 Home SL,2021
Laptop HP EliteBook X360 830 G8 i7 1165G7/16GB/512GB/Touch/Pen/Win10 Pro (3G1A4PA),41.390.000₫ *,Intel Core i7 Tiger Lake - 1165G7,4,8,2.80 GHz,Turbo Boost 4.7 GHz,12 MB,16 GB,DDR4 (On board),3200 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe,13.3 inch,Full HD (1920 x 1080),60 Hz,Tấm nền IPS Wled-backlit,Có,Card tích hợp - Intel Iris Xe Graphics,Bang & Olufsen audio,"2 x Thunderbolt 4 USB-C
2 x USB 3.1
HDMI
Jack tai nghe 3.5 mm",Bluetooth 5.0 Wi-Fi 6 (802.11ax),,HD webcam,"Bút cảm ứng
Bảo mật vân tay
Tiêu chuẩn Nền Intel Evo",Có,Dài 307.6 mm - Rộng 205 mm - Dày 17.8 mm - Nặng 1.476 kg,Vỏ kim loại,"3-cell Li-ion, 53 Wh",Windows 10 Pro,2021
Laptop MSI Summit E13 Flip i7 1185G7/16GB/1TB SSD/Touch/Túi/Pen/Win10 (211VN),39.490.000₫,Intel Core i7 Tiger Lake - 1185G7,4,8,3.00 GHz,Turbo Boost 4.8 GHz,12 MB,16 GB,LPDDR4 (On board),2133 MHz (Hãng công bố),Không hỗ trợ nâng cấp,1 TB SSD NVMe PCIe Gen4x4,13.4 inch,Full HD+ (1920 x 1200),60 Hz,"100% sRGB
500 nits Glossy
Tấm nền IPS",Có,Card tích hợp - Intel Iris Xe Graphics,Hi-Res Audio Nahimic Audio,"1 x USB 3.2
2 x Thunderbolt 4 USB-C
Jack tai nghe 3.5 mm
USB Type-C",Bluetooth 5.2 Wi-Fi 6E (802.11ax),Micro SD,Camera IR HD webcam,"Bảo mật vân tay
Công tắc khóa camera
Mở khóa khuôn mặt
Tiêu chuẩn Nền Intel Evo",Có,Dài 300.2 mm - Rộng 222.25 mm - Dày 14.9 mm - Nặng 1.35 kg,Vỏ kim loại nguyên khối,"4-cell Li-ion, 70 Wh",Windows 10 Home SL,2021
Laptop Asus ZenBook UX482EA i7 1165G7/16GB/1TB SSD/Touch/Pen/Túi/Stand/Win10 (KA111T),39.490.000₫ *,Intel Core i7 Tiger Lake - 1165G7,4,8,2.80 GHz,Turbo Boost 4.7 GHz,12 MB,16 GB,LPDDR4X (On board),4267 MHz,Không hỗ trợ nâng cấp,SSD 1 TB M.2 PCIe,14 inch,Full HD (1920 x 1080),60 Hz,"100% sRGB
400 nits
Chống chói Anti Glare
LED Backlit
Tấm nền IPS",Có,Card tích hợp - Intel Iris Xe Graphics,Audio by Harman/Kardon,"1 x USB 3.2
2 x Thunderbolt 4 USB-C
HDMI
Jack tai nghe 3.5 mm",Bluetooth 5.0 Wi-Fi 6 (802.11ax),Micro SD,Camera IR HD webcam,"Mở khóa khuôn mặt
ScreenPad Plus 12.65 inch (1920 x 515 IPS Panel)
Độ bền chuẩn quân đội MLT STD 810H",Có,Dài 324 mm - Rộng 222 mm - Dày 17.3 mm - Nặng 1.62 kg,Vỏ kim loại,"4-cell Li-ion, 70 Wh",Windows 10 Home SL,2021
Laptop Acer Predator Helios PH315 54 75YD i7 11800H/16GB/512GB/6GB RTX3060/165Hz/Win10 (NH.QC2SV.002),38.990.000₫ *,Intel Core i7 Tiger Lake - 11800H,8,16,2.30 GHz,Turbo Boost 4.6 GHz,24 MB,16 GB,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),3200 MHz,32 GB,"Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)
Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)
512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",15.6 inch,QHD (2560 x 1440),165 Hz,"Acer ComfyView
LED Backlit
Tấm nền IPS",,"Card rời - NVIDIA GeForce RTX 3060, 6 GB",Acer TrueHarmony DTS X:Ultra Audio,"3 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
Mini DisplayPort
USB Type-C",Bluetooth 5.1 Wi-Fi 6 (802.11ax),,HD webcam,Đèn bàn phím chuyển màu RGB,Có,Dài 363 mm - Rộng 255 mm - Dày 22.9 mm - Nặng 2.3 kg,Vỏ nhựa - nắp lưng bằng kim loại,"4-cell Li-ion, 59 Wh",Windows 10 Home SL,2021
Laptop Apple MacBook Pro M1 2020 8GB/512GB,39.990.000₫,Apple M1,,,,,,8 GB,,,Không hỗ trợ nâng cấp,512 GB SSD,13.3 inch,Retina (2560 x 1600),,"500 nits brightness
LED Backlit
Retina
True Tone Technology
Tấm nền IPS",,Card tích hợp - 8 nhân GPU,"3 microphones
Dolby Atmos
Loa kép (2 kênh)",2 x Thunderbolt 3 (USB-C) Jack tai nghe 3.5 mm,Bluetooth 5.0 Wi-Fi 6 (802.11ax),,HD webcam,Bảo mật vân tay,Có,Dài 304.1 mm - Rộng 212.4 mm - Dày 15.6 mm - Nặng 1.4 kg,Vỏ kim loại nguyên khối,Khoảng 10 tiếng,Mac OS,2020
Laptop Apple MacBook Air M1 2020 16GB/512GB/7-core GPU,39.490.000₫,Apple M1,,,,,,16 GB,,,Không hỗ trợ nâng cấp,512 GB SSD,13.3 inch,Retina (2560 x 1600),,"400 nits
Công nghệ IPS
LED Backlit
True Tone Technology",,Card tích hợp - 7 nhân GPU,"3 microphones
Headphones
Loa kép (2 kênh)",2 x Thunderbolt 3 (USB-C) Jack tai nghe 3.5 mm,Bluetooth 5.0 Wi-Fi 6 (802.11ax),,720p FaceTime Camera,Bảo mật vân tay,Có,Dài 304.1 mm - Rộng 212.4 mm - Dày 4.1 đến 16.1 mm - Nặng 1.29 kg,Vỏ kim loại nguyên khối,Khoảng 10 tiếng,Mac OS,2020
Laptop Asus ExpertBook B9400CEA i7 1165G7/16GB/1TB SSD/Cáp/Túi/Win10 (KC0790T),36.490.000₫ *,Intel Core i7 Tiger Lake - 1165G7,4,8,2.80 GHz,Turbo Boost 4.7 GHz,12 MB,16 GB,LPDDR4X (On board),4267 MHz,Không hỗ trợ nâng cấp,"Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 2TB) 1 TB SSD M.2 PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB)",14 inch,Full HD (1920 x 1080),60 Hz,"100% sRGB
400 nits
Chống chói Anti Glare
LED Backlit
Màn hình Wide View",,Card tích hợp - Intel Iris Xe Graphics,Audio by Harman/Kardon,"1 x USB 3.2
2 x Thunderbolt 4 USB-C
HDMI
Jack tai nghe 3.5 mm
Micro HDMI",Bluetooth 5.2 Wi-Fi 6 (802.11ax),,Camera IR HD webcam,"Bản lề mở 180 độ
Bảo mật vân tay
Mở khóa khuôn mặt
Numberpad
TPM 2.0
Độ bền chuẩn quân đội MLT STD 810H",Có,Dài 320 mm - Rộng 203 mm - Dày 14.9 mm - Nặng 1.01 kg,Hợp kim Lithium-Magie,,Windows 10 Home SL,2021
Laptop Lenovo YOGA Slim 7 Carbon 13ITL5 i7 1165G7/16GB/1TB SSD/Win10 (82EV0017VN),34.490.000₫ *,Intel Core i7 Tiger Lake - 1165G7,4,8,2.80 GHz,Turbo Boost 4.7 GHz,12 MB,16 GB,LPDDR4X (On board),4266 MHz,Không hỗ trợ nâng cấp,SSD 1 TB M.2 PCIe,13.3 inch,QHD (2560 x 1600),,"100% sRGB
300 nits Glossy
Chống chói Anti Glare
Dolby Vision
Tấm nền IPS",,Card tích hợp - Intel Iris Xe Graphics,Audio by Harman/Kardon Dolby Atmos,"2 x Thunderbolt 4 USB-C
Jack tai nghe 3.5 mm
USB Type-C",Bluetooth 5.0 Wi-Fi 6 (802.11ax),,Camera IR HD webcam,"Bản lề mở 180 độ
Mở khóa khuôn mặt
Tiêu chuẩn Nền Intel Evo
Độ bền chuẩn quân đội MLT STD 810G",Có,Dài 295.88 mm - Rộng 208.85 mm - Dày 15 mm - Nặng 0.966 kg,Mặt lưng Carbon - Chiếu nghỉ tay bằng Nhôm Magie,"Li-Polymer, 50 Wh",Windows 10 Home SL,2020
Laptop HP Envy 13 ba1031TU i7 1165G7/16GB/1TB SSD/Office H&S2019/Win10 (2K0B7PA),33.790.000₫ *,Intel Core i7 Tiger Lake - 1165G7,4,8,2.80 GHz,Turbo Boost 4.7 GHz,12 MB,16 GB,DDR4 (On board),2933 MHz,Không hỗ trợ nâng cấp,SSD 1 TB M.2 PCIe,13.3 inch,Full HD (1920 x 1080),,"400 nits
60Hz
Tấm nền IPS
Wled-backlit",,Card tích hợp - Intel Iris Xe Graphics,Bang & Olufsen audio,2 x USB 3.1 Thunderbolt 3,Bluetooth 5.0 Wi-Fi 6 (802.11ax),Micro SD,HD webcam,"Bảo mật vân tay
Công tắc khóa camera
Tiêu chuẩn Nền Intel Evo",Có,Dài 306.5 mm - Rộng 194.6 mm - Dày 16.9 mm - Nặng 1.236 kg,Vỏ kim loại nguyên khối,3-cell Li-ion,Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,2020
Laptop Asus ZenBook Flip UX363EA i7 1165G7/16GB/512GB/OLED/Touch/Pen/Cáp/Túi/Win10 (HP163T),33.490.000₫ *,Intel Core i7 Tiger Lake - 1165G7,4,8,2.80 GHz,Turbo Boost 4.7 GHz,12 MB,16 GB,LPDDR4X (On board),4266 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe,13.3 inch,Full HD (1920 x 1080) OLED,60 Hz,"100% DCI-P3
400 nits
OLED",Có,Card tích hợp - Intel Iris Xe Graphics,Audio by Harman/Kardon SonicMaster audio,"1 x USB 3.2
2 x Thunderbolt 4 USB-C
HDMI",Bluetooth 5.0 Wi-Fi 6 (802.11ax),,Camera IR HD webcam,"Mở khóa khuôn mặt
Numberpad
Độ bền chuẩn quân đội MLT STD 810G",Có,Dài 305 mm - Rộng 211 mm - Dày 11.9 mm - Nặng 1.3 kg,Vỏ kim loại nguyên khối,"4-cell Li-ion, 67 Wh",Windows 10 Home SL,2021
Laptop Apple MacBook Air M1 2020 8GB/512GB/8-core GPU,34.990.000₫,Apple M1,,,,,,8 GB,,,Không hỗ trợ nâng cấp,512 GB SSD,13.3 inch,Retina (2560 x 1600),,"400 nits
Công nghệ IPS
LED Backlit
True Tone Technology",,Card tích hợp - 8 nhân GPU,"3 microphones
Headphones
Loa kép (2 kênh)",2 x Thunderbolt 3 (USB-C) Jack tai nghe 3.5 mm,Bluetooth 5.0 Wi-Fi 6 (802.11ax),,720p FaceTime Camera,Bảo mật vân tay,Có,Dài 304.1 mm - Rộng 212.4 mm - Dày 4.1 mm đến 16.1 mm - Nặng 1.29 kg,Vỏ kim loại nguyên khối,Khoảng 10 tiếng,Mac OS,2020
Laptop Dell Gaming G15 5515 R7 5800H/16GB/512GB/4GB RTX3050Ti/120Hz/Office H&S2019/Win10 (70258051),32.890.000₫,AMD Ryzen 7 - 5800H,8,16,3.20 GHz,4.4 GHz,16 MB,16 GB,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),3200 MHz,32 GB,"Không hỗ trợ khe cắm HDD
Không hỗ trợ khe cắm SSD M2 mở rộng thêm
512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB (2280) / 1TB (2230))",15.6 inch,Full HD (1920 x 1080),120 Hz,Chống chói Anti Glare WVA,,"Card rời - NVIDIA GeForce RTX3050Ti, 4 GB",Nahimic Audio,"1 x USB 3.2
2 x USB 2.0
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Bluetooth 5.2 Wi-Fi 6 (802.11ax),,HD webcam,Đèn bàn phím chuyển màu RGB,Có,Dài 357.2 mm - Rộng 272.1 mm - Dày 26.9 mm - Nặng 2.81 kg,Vỏ nhựa,"3-cell Li-ion, 56 Wh",Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,2021
Laptop MSI Gaming Leopard 10SDK GL65 i7 10750H/16GB/512GB/144Hz/6GB GTX1660Ti/Balo/Win10 (242VN),32.490.000₫,Intel Core i7 Comet Lake - 10750H,6,12,2.60 GHz,Turbo Boost 5.0 GHz,12 MB,16 GB,DDR4 (2 khe),2666 MHz,32 GB,512 GB SSD NVMe PCIe Hỗ trợ khe cắm HDD SATA,15.6 inch,Full HD (1920 x 1080),144 Hz,Tấm nền IPS,,"Card rời - NVIDIA GeForce GTX 1660Ti, 6 GB",Stereo speakers,"Jack tai nghe 3.5 mm
3 x USB 3.2
HDMI
LAN (RJ45)
Mini DisplayPort
USB Type-C",Wi-Fi 6 (802.11ax) Bluetooth 5.1,SD,HD webcam,Đèn bàn phím chuyển màu RGB,Có,Dài 359 mm - Rộng 254 mm - Dày 21.7 mm - Nặng 2.3 kg,Vỏ nhựa,6-cell Li-ion,Windows 10 Home SL,2020
Laptop Asus TUF Gaming FX516PM i7 11370H/8GB/512GB/6GB RTX3060/144Hz/Win10 (HN002T),32.490.000₫,Intel Core i7 Tiger Lake - 11370H,4,8,3.30 GHz,Turbo Boost 4.8 GHz,12 MB,8 GB,DDR4 2 khe (1 khe 8GB onboard + 1 khe trống),3200 MHz,32 GB,"Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB) 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",15.6 inch,Full HD (1920 x 1080),144 Hz,"Adaptive-Sync
Chống chói Anti Glare
Tấm nền IPS",,"Card rời - NVIDIA GeForce RTX 3060, 6 GB",DTS Audio,"3 x USB 3.2
HDMI 2.0
Jack tai nghe 3.5 mm
LAN (RJ45)
Thunderbolt 4 USB-C",Bluetooth 5.1 Wi-Fi 6 (802.11ax),,Không tích hợp,,Có,Dài 360 mm - Rộng 252 mm - Dày 19.9 mm - Nặng 2 kg,Vỏ nhựa - nắp lưng bằng kim loại,"4-cell Li-ion, 76 Wh",Windows 10 Home SL,2021
Laptop Apple MacBook Air M1 2020 16GB/256GB/7-core GPU,33.990.000₫,Apple M1,,,,,,16 GB,,,Không hỗ trợ nâng cấp,256 GB SSD,13.3 inch,Retina (2560 x 1600),,"400 nits
Công nghệ IPS
LED Backlit
True Tone Technology",,Card tích hợp - 7 nhân GPU,"3 microphones
Headphones
Loa kép (2 kênh)",2 x Thunderbolt 3 (USB-C) Jack tai nghe 3.5 mm,Bluetooth 5.0 Wi-Fi 6 (802.11ax),,720p FaceTime Camera,Bảo mật vân tay,Có,Dài 304.1 mm - Rộng 212.4 mm - Dày 4.1 mm đến 16.1 mm - Nặng 1.29 kg,Vỏ kim loại nguyên khối,Khoảng 10 tiếng,Mac OS,2020
Laptop Asus ZenBook UX482EA i5 1135G7/8GB/512GB/Touch/Pen/Túi/Stand/Win10 (KA081T),32.490.000₫ *,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,LPDDR4X (On board),4267 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe,14 inch,Full HD (1920 x 1080),60 Hz,"100% sRGB
400 nits
Chống chói Anti Glare
LED Backlit
Tấm nền IPS",Có,Card tích hợp - Intel Iris Xe Graphics,Audio by Harman/Kardon,"1 x USB 3.2
2 x Thunderbolt 4 USB-C
HDMI
Jack tai nghe 3.5 mm",Bluetooth 5.0 Wi-Fi 6 (802.11ax),Micro SD,Camera IR HD webcam,"Mở khóa khuôn mặt
ScreenPad Plus 12.65 inch (1920 x 515 IPS Panel)
Độ bền chuẩn quân đội MLT STD 810H",Có,Dài 324 mm - Rộng 222 mm - Dày 17.3 mm - Nặng 1.62 kg,Vỏ kim loại,"4-cell Li-ion, 70 Wh",Windows 10 Home SL,2021
Laptop Asus TUF Gaming FX516PM i7 11370H/16GB/512GB/6GB RTX3060/144Hz/Win10 (HN023T),32.490.000₫,Intel Core i7 Tiger Lake - 11370H,4,8,3.30 GHz,Turbo Boost 4.8 GHz,12 MB,16 GB,DDR4 2 khe (8GB onboard+ 1 khe 8GB),3200 MHz,32 GB,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng 512 GB SSD NVMe PCIe,15.6 inch,Full HD (1920 x 1080),144 Hz,"Adaptive-Sync
Chống chói Anti Glare
Tấm nền IPS",,"Card rời - NVIDIA GeForce RTX 3060, 6 GB",DTS Audio,"3 x USB 3.2
HDMI 2.0
Jack tai nghe 3.5 mm
LAN (RJ45)
Thunderbolt 4 USB-C",Bluetooth 5.1 Wi-Fi 6 (802.11ax),,Không tích hợp,,Có,Dài 360 mm - Rộng 252 mm - Dày 19.9 mm - Nặng 2 kg,Vỏ nhựa - nắp lưng bằng kim loại,"4-cell Li-ion, 76 Wh",Windows 10 Home SL,2021
Laptop Dell Inspiron 7306A i7 1165G7/16GB/512GB/Touch/Pen/Win10 (P125G002N7306A),32.490.000₫,Intel Core i7 Tiger Lake - 1165G7,4,8,2.80 GHz,Turbo Boost 4.7 GHz,12 MB,16 GB,DDR4 2 khe (8 GB onboard + 8 GB onboard),4267 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe,13.3 inch,4K/UHD (3840 x 2160),,100% sRGB WVA,Có,Card tích hợp - Intel Iris Xe Graphics,Realtek ALC3204,"Jack tai nghe 3.5 mm
Thunderbolt 4 USB-C
1 x USB 3.2
HDMI",Bluetooth 5.0 Wi-Fi 6 (802.11ax),Micro SD,HD webcam,Bảo mật vân tay,Có,Dài 305 mm - Rộng 206 mm - Dày 16.7 mm - Nặng 1.37 kg,Vỏ kim loại,"4-cell, 60 Wh",Windows 10 Home SL,2021
Laptop MSI Gaming GF65 10UE i7 10750H/16GB/512GB/6GB RTX3060 Max-Q/Balo/Win10 (228VN),31.990.000₫,Intel Core i7 Comet Lake - 10750H,6,12,2.60 GHz,Turbo Boost 5.0 GHz,12 MB,16 GB,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),3200 MHz,64 GB,512 GB SSD NVMe PCIe Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng,15.6 inch,Full HD (1920 x 1080),144 Hz,LED Tấm nền IPS,,"Card rời - NVIDIA GeForce RTX 3060 Max-Q, 6 GB",Nahimic Audio,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
LAN (RJ45)
2 x USB Type-C",Wi-Fi 6 (802.11ax) Bluetooth 5.1,,HD webcam,,Có,Dài 359 mm - Rộng 254 mm - Dày 21.7 mm - Nặng 1.86 kg,Vỏ nhựa - nắp lưng bằng kim loại,"3-cell Li-ion, 51 Wh",Windows 10 Home SL,2021
Laptop Dell Gaming G3 15 i7 10750H/16GB/512GB/6GB GTX1660Ti/120Hz/Win10 (P89F002BWH),31.490.000₫,Intel Core i7 Comet Lake - 10750H,6,12,2.60 GHz,Turbo Boost 5.0 GHz,12 MB,16 GB,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),2933 MHz,16 GB,512 GB SSD NVMe PCIe Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng,15.6 inch,Full HD (1920 x 1080),120 Hz,LED WVA,,"Card rời - NVIDIA GeForce GTX 1660Ti, 6 GB",Nahimic 3,"Jack tai nghe 3.5 mm
1 x USB 3.2
HDMI
LAN (RJ45)
Thunderbolt 3
2 x USB 2.0
Mini DisplayPort",Bluetooth 5.0 Wi-Fi 6 (802.11ax),SD,HD webcam,Bảo mật vân tay,Có,Dài 364.46 mm - Rộng 254 mm - Dày 30.96 mm - Nặng 2.58 kg,Vỏ nhựa,"4-cell Li-ion, 68 Wh",Windows 10 Home SL,2020
Laptop Dell Gaming G3 i7 10750H/16GB/512GB/6GB GTX1660Ti/120Hz/Win10 (P89F002G3500B),31.490.000₫,Intel Core i7 Comet Lake - 10750H,6,12,2.60 GHz,Turbo Boost 5.0 GHz,12 MB,16 GB,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),2933 MHz,16 GB,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng 512 GB SSD NVMe PCIe,15.6 inch,Full HD (1920 x 1080),120 Hz,LED WVA,,"Card rời - NVIDIA GeForce GTX 1660Ti, 6 GB",Nahimic 3,"1 x USB 3.2
2 x USB 2.0
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
Thunderbolt 3",Bluetooth 5.0 Wi-Fi 6 (802.11ax),SD,HD webcam,Bảo mật vân tay,Có,Dài 364.46 mm - Rộng 254 mm - Dày 30.96 mm - Nặng 2.58 kg,Vỏ nhựa,"4-cell Li-ion, 68 Wh",Windows 10 Home SL,2020
Laptop Asus TUF Gaming FX706HE i7 11800H/8GB/512GB/4GB RTX3050Ti/144Hz/Win10 (HX011T),31.490.000₫,Intel Core i7 Tiger Lake - 11800H,8,16,2.30 GHz,Turbo Boost 4.6 GHz,24 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,32 GB,512 GB SSD NVMe PCIe Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng,17.3 inch,Full HD (1920 x 1080),144 Hz,"Tấm nền IPS
Chống chói Anti Glare
250 nits",,"Card rời - NVIDIA GeForce RTX3050Ti, 4 GB",DTS Audio,"Jack tai nghe 3.5 mm
Thunderbolt 4 USB-C
3 x USB 3.2
HDMI
LAN (RJ45)",Bluetooth 5.2 Wi-Fi 6 (802.11ax),,HD webcam,Đèn bàn phím chuyển màu RGB,Có,Dài 399 mm - Rộng 269 mm - Dày 23.9 mm - Nặng 2.6 kg,Vỏ nhựa - nắp lưng bằng kim loại,"3-cell Li-ion, 48 Wh",Windows 10 Home SL,2021
Laptop Dell Gaming G15 5515 R7 5800H/8GB/512GB/4GB RTX3050/120Hz/Office H&S2019/Win10 (70258049),30.490.000₫,AMD Ryzen 7 - 5800H,8,16,3.20 GHz,4.4 GHz,16 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,32 GB,"Không hỗ trợ khe cắm HDD
Không hỗ trợ khe cắm SSD M2 mở rộng thêm
512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB (2280) / 1TB (2230))",15.6 inch,Full HD (1920 x 1080),120 Hz,Chống chói Anti Glare WVA,,"Card rời - NVIDIA GeForce RTX3050, 4 GB",Nahimic Audio,"1 x USB 3.2
2 x USB 2.0
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Bluetooth 5.2 Wi-Fi 6 (802.11ax),,HD webcam,Đèn bàn phím chuyển màu RGB,Có,Dài 357.2 mm - Rộng 272.1 mm - Dày 26.9 mm - Nặng 2.81 kg,Vỏ nhựa,"3-cell Li-ion, 56 Wh",Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,2021
Laptop Asus ZenBook UX425EA i7 1165G7/16GB/512GB/Cáp/Túi/Win10 (KI439T),30.190.000₫ *,Intel Core i7 Tiger Lake - 1165G7,4,8,2.80 GHz,Turbo Boost 4.7 GHz,12 MB,16 GB,LPDDR4X (On board),4266 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe,14 inch,Full HD (1920 x 1080),60 Hz,"Tấm nền IPS
Chống chói Anti Glare
LED Backlit
100% sRGB
400 nits",,Card tích hợp - Intel Iris Xe Graphics,Audio by Harman/Kardon,"2 x Thunderbolt 4 USB-C
1 x USB 3.2
HDMI",Bluetooth 5.0 Wi-Fi 6 (802.11ax),Micro SD,HD webcam Camera IR,Độ bền chuẩn quân đội MLT STD 810G Mở khóa khuôn mặt,Có,Dài 319 mm - Rộng 208 mm - Dày 13.9 mm - Nặng 1.17 kg,Vỏ kim loại nguyên khối,"4-cell Li-ion, 67 Wh",Windows 10 Home SL,2020
